Team,Match,Totes,Containers,MaxHeight,MatchPoints
1225,12,11,2,4,null
1225,20,14,1,5,null
1225,40,9,1,5,null
1225,48,2,0,2,null
1225,57,11,1,5,null
1225,6,12,1,4,null
1413,15,0,0,0,null
1413,22,3,0,3,null
1413,36,6,0,3,null
1413,4,2,0,2,null
1413,41,1,0,1,null
1413,52,5,0,4,null
1413,58,0,0,0,null
1533,19,5,1,4,null
1533,27,0,0,0,null
1533,34,2,1,2,null
1533,41,0,1,3,null
1533,47,3,1,3,null
1533,64,3,0,3,null
1533,8,3,0,3,null
1533,8,0,0,0,null
2059,14,7,0,4,null
2059,19,5,0,3,null
2059,30,6,1,4,null
2059,45,4,1,5,null
2059,51,9,0,3,null
2059,60,4,0,2,null
2059,7,6,0,3,null
2528,19,1,0,1,null
2528,36,3,0,3,null
2528,36,0,0,0,null
2528,43,0,0,0,null
2528,54,0,1,2,null
2528,63,0,2,3,null
2640,36,9,0,3,null
2640,54,0,0,0,null
2640,61,5,2,4,null
2641,14,1,0,1,null
2641,3,0,0,0,null
2641,4,0,0,0,null
2641,48,2,0,1,null
2642,12,4,0,2,null
2642,24,9,0,5,null
2642,30,5,0,3,null
2642,46,4,0,2,null
2642,51,6,0,3,null
2642,58,6,0,2,null
2682,16,5,0,2,null
2682,24,3,0,1,null
2682,33,2,0,1,null
2682,43,0,0,0,null
2682,43,0,0,0,null
2682,50,3,0,2,null
2682,57,2,0,2,null
2682,7,2,0,1,null
2890,10,0,0,0,null
2890,21,1,0,1,null
2890,3,0,0,0,null
2890,37,0,0,0,null
2890,46,0,0,0,null
2890,54,0,0,0,null
2890,61,0,1,1,null
3196,11,5,0,3,null
3196,20,3,1,4,null
3196,29,2,0,2,null
3196,3,0,1,2,null
3196,43,0,0,0,null
3196,50,0,0,0,null
3196,58,0,0,0,null
3215,14,1,0,1,null
3215,20,0,0,0,null
3215,31,0,0,2,null
3215,41,0,0,0,null
3215,55,1,0,1,null
3215,61,1,0,1,null
3229,31,3,0,1,null
3229,38,2,0,2,null
3229,4,2,0,2,null
3229,5,2,0,2,null
3229,62,2,0,1,null
3270,18,0,0,0,null
3270,26,1,0,1,null
3270,37,0,0,0,null
3270,42,3,0,2,null
3270,5160,0,0,0,null
3270,55,0,0,0,null
3270,63,1,0,1,null
3270,7,0,0,0,null
3331,35,1,0,1,null
3331,4,0,0,0,null
3331,45,0,0,0,null
3331,53,3,0,2,null
3331,63,4,0,2,null
3331,8,0,0,0,null
3336,13,0,0,0,null
3336,20,2,0,2,null
3336,33,1,0,1,null
3336,39,3,0,3,null
3336,47,0,0,0,null
3336,5,0,0,0,null
3402,16,0,0,0,null
3402,31,0,0,0,null
3402,45,4,0,2,null
3402,55,5,0,3,null
3402,64,0,0,0,null
3459,18,2,0,2,null
3459,23,4,1,3,null
3459,28,1,0,1,null
3459,28,0,0,0,null
