Team,Match,Totes,Containers,MaxHeight,MatchPoints
2059,14,7,0,4,null
2059,19,5,0,3,null
2059,30,6,1,4,null
2059,45,4,1,5,null
2059,51,9,0,3,null
2059,60,4,0,2,null
2059,7,6,0,3,null
2528,19,1,0,1,null
2528,36,3,0,3,null
2528,36,0,0,0,null
2528,43,0,0,0,null
2528,54,0,1,2,null
2528,63,0,2,3,null
2640,36,9,0,3,null
2640,54,0,0,0,null
2640,61,5,2,4,null
2641,14,1,0,1,null
2641,3,0,0,0,null
2641,4,0,0,0,null
2641,48,2,0,1,null
2642,12,4,0,2,null
2642,24,9,0,5,null
2642,30,5,0,3,null
2642,46,4,0,2,null
2642,51,6,0,3,null
2642,58,6,0,2,null
2682,16,5,0,2,null
2682,24,3,0,1,null
2682,33,2,0,1,null
2682,43,0,0,0,null
2682,43,0,0,0,null
2682,50,3,0,2,null
2682,57,2,0,2,null
2682,7,2,0,1,null
2890,10,0,0,0,null
2890,21,1,0,1,null
2890,3,0,0,0,null
2890,37,0,0,0,null
2890,46,0,0,0,null
2890,54,0,0,0,null
2890,61,0,1,1,null
